MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
56003.03,15.4,12.75,1.01,n,AMI-LA,Zauderer et al.2013
56010.16,15.4,12.66,0.24,n,AMI-LA,Zauderer et al.2013
56013.22,15.4,12.06,0.05,n,AMI-LA,Zauderer et al.2013
56017.18,15.4,11.57,0.91,n,AMI-LA,Zauderer et al.2013
56019.13,15.4,11.76,0.11,n,AMI-LA,Zauderer et al.2013
56024.15,15.4,10.66,0.69,n,AMI-LA,Zauderer et al.2013
56029.42,1.8,4.37,0.1,n,JVLA,Zauderer et al.2013
56029.42,4.9,12.24,0.03,n,JVLA,Zauderer et al.2013
56029.42,6.7,14.4,0.03,n,JVLA,Zauderer et al.2013
56031.94,15.4,10.62,0.54,n,AMI-LA,Zauderer et al.2013
56040.16,15.4,9.9,0.11,n,AMI-LA,Zauderer et al.2013
56040.22,8.6,13.84,0.03,n,JVLA,Zauderer et al.2013
56040.22,19.1,8.46,0.03,n,JVLA,Zauderer et al.2013
56040.22,24.4,6.77,0.04,n,JVLA,Zauderer et al.2013
56040.22,33.4,5.26,0.04,n,JVLA,Zauderer et al.2013
56068.34,15.4,8.92,0.48,n,AMI-LA,Zauderer et al.2013
56079.026,5,9,0.45,n,EVN/VLBI,Yang et al.2016
56084.14,15.4,8.85,0.3,n,AMI-LA,Zauderer et al.2013
56090.03,15.4,8,0.36,n,AMI-LA,Zauderer et al.2013
56093.02,15.4,8.87,0.93,n,AMI-LA,Zauderer et al.2013
56095.96,15.4,7.57,0.2,n,AMI-LA,Zauderer et al.2013
56098.16,1.8,3.77,0.09,n,JVLA,Zauderer et al.2013
56099.16,4.9,11.12,0.03,n,JVLA,Zauderer et al.2013
56099.16,6.7,11.76,0.02,n,JVLA,Zauderer et al.2013
56103.1,15.4,8.05,0.2,n,AMI-LA,Zauderer et al.2013
56106.17,8.6,10.89,0.03,n,JVLA,Zauderer et al.2013
56106.17,19.1,6.03,0.03,n,JVLA,Zauderer et al.2013
56106.17,24.4,4.83,0.03,n,JVLA,Zauderer et al.2013
56106.17,33.4,3.58,0.04,n,JVLA,Zauderer et al.2013
56108.72,15.4,7.09,0.64,n,AMI-LA,Zauderer et al.2013
56115.98,15.4,6.9,0.01,n,AMI-LA,Zauderer et al.2013
56123.04,15.4,6.91,0.55,n,AMI-LA,Zauderer et al.2013
56124.97,15.4,6.36,0.67,n,AMI-LA,Zauderer et al.2013
56133.99,15.4,7.01,0.26,n,AMI-LA,Zauderer et al.2013
56137.92,15.4,6.88,0.37,n,AMI-LA,Zauderer et al.2013
56144.8,15.4,5.78,0.03,n,AMI-LA,Zauderer et al.2013
56147.86,15.4,6.54,0.76,n,AMI-LA,Zauderer et al.2013
56159.26,15.4,6,0.77,n,AMI-LA,Zauderer et al.2013
56167.82,15.4,5.38,0.64,n,AMI-LA,Zauderer et al.2013
56170.79,15.4,5.47,0.42,n,AMI-LA,Zauderer et al.2013
56173.75,15.4,5.55,0.2,n,AMI-LA,Zauderer et al.2013
56179.9,15.4,6,0.1,n,AMI-LA,Zauderer et al.2013
56183.76,15.4,5.36,0.43,n,AMI-LA,Zauderer et al.2013
56195.81,15.4,5.16,0.35,n,AMI-LA,Zauderer et al.2013
56197.63,15.4,4.72,0.25,n,AMI-LA,Zauderer et al.2013
56212.86,15.4,4.46,0.24,n,AMI-LA,Zauderer et al.2013
56226.81,1.8,2.88,0.08,n,JVLA,Zauderer et al.2013
56227.71,8.6,7.14,0.03,n,JVLA,Zauderer et al.2013
56227.71,19.1,3.94,0.03,n,JVLA,Zauderer et al.2013
56227.71,24.4,3.26,0.03,n,JVLA,Zauderer et al.2013
56227.71,33.4,2.41,0.05,n,JVLA,Zauderer et al.2013
